#,USER,ENS,TWITTER,INFO,ADDRESSES,NETWORKS
1,@vitalik.eth,vitalik.eth,https://twitter.com/VitalikButerin,"ETH foundation, influencer, researcher, cult",0xd8da6bf26964af9d7eed9e03e53415d37aa96045,"erc, bsc, poly, heco, ftm, avax, optm, arb"
 , , , , ,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,"erc, bsc, poly, ftm, avax, arb, optm"
2,@zhusu_3ac, ,https://twitter.com/zhusu,"3AC founder, enterpreteur, Deribit, uncommon core",0x4862733B5FdDFd35f35ea8CCf08F5045e57388B3,"erc, bsc, poly, heco, ftm, avax"
 , , , , ,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,erc
 , , , , ,0x3ba21b6477f48273f41d241aa3722ffb9e07e247,erc
3,alameda, ,https://twitter.com/SBF_Alameda,ftx foundation,0xfa34bf9307f2f68a70b4369bb2f522b2b2bb222b,"erc, bsc, poly, avax"
 , , , , ,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,"erc, bsc, poly, avax, heco, ftm, optm, arb"
4,blocktower, , ,fund,0x43adde52c6c142912662d3e427709db5cac9b811,"erc, bsc, poly, avax, heco, ftm"
5,a16z, , , VC fund,0x66b870ddf78c975af5cd8edc6de25eca81791de1,"erc, bsc, poly, avax, heco, ftm, optm, arb"
6,etherum_nickname, , ,#1 followers on debank.com,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,"erc, bsc, poly, avax, heco, ftm, optm, arb, gns, aur"
7,@Amelisa.eth,amelisa.eth, ,"small anon whale, sharp alt plays",0x3c9002cdb61c56b89467d94a2d93235dfd698089,"erc, bsc, poly, avax, ftm, optm, arb"
8,tetranode, , , ,0x9c5083dd4838e120dbeac44c052179692aa5dac5,"erc, bsc, poly, heco, ftm, optm, arb"
9,alt_degen, , ,"smaller alt degen play wallet, name is made up",0x1d3db45f912c74de554409c1ad0d27dbcb26b726,"erc, bsc, poly, heco, ftm, avax, arb"
10,@obvio.eth,obvio.eth, ,whale on eth,0x179456bf16752FE5Eb8789148E5C98Eb39D87Fe5,"erc, bsc, poly, heco, ftm, avax, arb"
11,@wed.eth,wed.eth, ,nft (eth) trader,0xAB6cA2017548A170699890214bFd66583A0C1754,"erc, bsc, poly, heco, avax"
12,ftm_whale,, ,whale on fantom,0xebf4fbb9c81b84dd5cf89bc75588e5d0018501b3,"erc, ftm"
13,parafi,,,"eth fund, whale",0x4655b7ad0b5f5bacb9cf960bbffceb3f0e51f363,erc
 , , , , ,0x59cee32f3ffaeabc0d4991ac7569ebad09e1a7d4,erc
 , , , , ,0xe7dbe6aa7edcc38cb5007b87153d236ad879309b,erc
14,gmx_degen,, ,"degen who was early in gmx, active small cap investor",0x1e7127c81c8a58661a0811f026b6be66533934be,erc
15,devmons.eth,devmons.eth, ,"gOHM investor, NFT whale, nansen smart money",0x5efb87c9ff9da9ba445dfef71f0446682352c15d,"erc, bsc, gns, poly, ftm, avx, arb, optm"
16,Arca, , ,whale,0x23a5efe19aa966388e132077d733672cf5798c03,erc
17,Sigil fund, , ,gOHM investor,0xe2e4f2a725e42d0f0ef6291f46c430f963482001,"erc, optm, avax, bsc"
 , , , , ,0x0561a78021d8966ddd20c28c6c4318d8675ee1f0,"erc, arb, avax, poly"
18,Stani Kulechov, ,https://twitter.com/StaniKulechov,CEO and founder of Aave,0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f,"erc, avax, bsc, poly"
19,punkify.eth,punkify.eth, ,whale,0xaf297dec752c909092a117a932a8ca4aaaff9795,"erc, bsc, arb, optm, poly, ftm, fuse, one"
20,analytico.eth,analytico.eth, ,algo trading firm,0xa0f75491720835b36edc92d06ddc468d201e9b73,"erc, optm, poly, avax, bsc, arb, ftm"
21,XMON_wallet, ,https://twitter.com/<full_address>,xmon investor,0xf6e2c94a609ca303964b65ec991a1a0d2991b961,"erc, aur, ftm"
 , , , , ,0x39eea0258a5c3e3c5092b2f910371d124592a7fb,"erc, ftm"
22,GMX_wallet, , , ,<0x332a4fb9603ecd65f3a4e321e8c10826c46049af,"arb, erc, ftm"
 , , , , ,0x5058352e527694a554966154397af9ab79d75461,"poly, arb"
23,JPEG_wallet, , , ,0xb0dafc466871c29662e5cbf4227322c96a8ccbe9,"erc, poly, avax, arb"
 , , , , ,0xf52bad5e97658f04b5228d58f428e98f9139d23f,erc
24,hayes_arthur,,https://twitter.com/CryptoHayes,"crypto guru, bitmex cofounder, whale, influencer",0x534A0076fb7c2b1f83FA21497429AD7ad3bD7587,erc
25,gmx_holder_0,,,gmx whale,0xc411024f65fa6ce31bc0b15f21462d2cd691ce2f,erc
26,gmx_holder_1,,,gmx whale,0x332a4fb9603ecd65f3a4e321e8c10826c46049af,erc
27,top_dex_trader,,,nansen smart dex trader,0xB1a5BAACE5444E7793035CBe9D58b4597655BfE3,erc
28,top_dex_trader_1,,,nansen top dex trader,0xe13cec7b2c10574e5e89a780582b66d2c3c71b80,erc
29,machibigbrother.eth,machibigbrother.eth,,"eth whale, holder",0x020ca66c30bec2c4fe3861a94e4db4a498a35872,erc
30,JPEG_trader,,,"alt whale, holder",0x66253b9012b4ea899f634be550ff647a63884448,erc
31,olagg.eth,olagg.eth,https://twitter.com/CydrakeOLAGG,play to earn gamer,0xadaa3dbcb020b5f8f62a2fd75626c18d59f82281,erc
32,chainlink_whale_0,,,whale on Link,0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,erc
33,yfi_whale,,,YFI whale,0xfdc08be176707ac2755e01072400290582a38322,erc
34,XMON_whale,,,large xmon trader,0x39eea0258a5c3e3c5092b2f910371d124592a7fb,erc
35,alt_trader,,,"SYN, JPEG, FXS, STG",0x66253b9012b4ea899f634be550ff647a63884448,erc
36,qcp_capital,,https://twitter.com/QCPCapital,Singapore crypto trading firm,0x527788Ae179be743614496680d38B39D87Ee1ce8,erc
37,alt_trader_1,,,"SYN, JPEG, smart trader",0xca968044effff14bee263ca6af3b9823f1968f37,erc
38,dargonfly_capital,,https://twitter.com/DCPCapital,"eth, lido whale, fund, VC",0x641cE4240508eae5dCaeffE991F80941D683Ad64,erc
39,yfi_whale_1,,,"yfi maxi, whale",0x50664ede715e131f584d3e7eaabd7818bb20a068,erc
40,defiance_capital,,https://twitter.com/DeFianceCapital,"web3 VC, suzhu co-founder",0xb4F70F2F0f1A27276571a12e60c64E321f40d47C,erc
41,alt_trader_2,,,"alt whale, SYN, LDO holder",0x0aCA67Fa70B142A3b9bF2eD89A81B40ff85dACdC,erc
 , , , , ,0xb1dde4d00b21c62eda810773b44151e0afe49c1c,erc
42,dscfdog_alt_trader,,,"alt whale, CT pointed as dcfdog, TEMPLE, XMON, gOHM",0xFa4FC4ec2F81A4897743C5b4f45907c02ce06199,erc
